filename,predict,golden,positive count,negative count,neutral count
elizabeth.9-DJBZ1I4Vw.07.txt,Positive,Positive,174,85,9
donald.3mRDW3X4k9k.01.txt,Negative,Neutral,1,27,18
joe.oM10W_hLaS8.20.txt,Neutral,Neutral,0,66,143
elizabeth.wrbtH3y52mU.02.txt,Negative,Neutral,69,153,78
pete.9JuDyoLsdpg.00.txt,Neutral,Positive,63,2,77
kamala.uzAdNs8oXZo.02.txt,Neutral,Neutral,83,36,132
elizabeth.0Kybc1tWkC4.01.txt,Negative,Negative,47,157,90
andrew.0k9pOXSfy0E.27.txt,Neutral,Positive,269,19,281
kamala.a0Kf9YIXSVk.08.txt,Neutral,Neutral,11,117,159
amy.HGvqJI2MC6U.14.txt,Positive,Neutral,194,82,24
beto.DXIklJWTn6Y.04.txt,Neutral,Neutral,33,45,214
beto.yi3qMl8QwWw.01.txt,Neutral,Negative,12,63,168
pete.BVWdUT-4PMw.06.txt,Positive,Positive,166,31,103
kamala.01NsSWa4BLU.00.txt,Neutral,Neutral,6,4,290
bernie.NZ_WulgST3U.09.txt,Neutral,Neutral,11,105,155
andrew.nDWwRWYP3_U.01.txt,Negative,Positive,35,120,95
kamala.a0Kf9YIXSVk.04.txt,Neutral,Negative,33,11,256
julian.mgdXC_k_Kkg.00.txt,Neutral,Neutral,7,20,223
donald.QqVYRTHJ8Rw.00.txt,Neutral,Positive,63,90,147
amy.DpmOY2m27jY.11.txt,Positive,Positive,105,32,67
pete.xBokmGo4vrg.10.txt,Positive,Positive,240,32,28
donald.h7q5PSYH4Xk.00.txt,Negative,Neutral,0,159,104
amy.IIrv5o2i_Hs.11.txt,Positive,Positive,119,102,0
donald.O9__G3I0Mc0.11.txt,Negative,Neutral,10,166,101
kamala.VKBs2GQNlGw.03.txt,Positive,Positive,213,7,59
andrew.0k9pOXSfy0E.10.txt,Neutral,Neutral,75,74,389
elizabeth.9-DJBZ1I4Vw.02.txt,Positive,Positive,213,69,15
amy.9TwHGr4BCkE.05.txt,Neutral,Positive,49,16,68
kamala.XiorcQd7tzQ.03.txt,Neutral,Negative,9,18,273
julian.QtsE34OY0mw.22.txt,Neutral,Neutral,8,2,290
andrew.0k9pOXSfy0E.15.txt,Neutral,Neutral,116,80,377
cory.hMR1sGNlHqo.00.txt,Neutral,Negative,10,95,195
donald.3bEqkOTJ9eA.22.txt,Neutral,Neutral,0,85,165
beto.dzbPwgKsHbY.00.txt,Neutral,Positive,20,93,151
donald.MyJ21nxo_QQ.04.txt,Negative,Neutral,15,110,29
julian.QtsE34OY0mw.08.txt,Neutral,Neutral,21,6,273
bernie.RPZVxKBLHiw.12.txt,Neutral,Negative,0,4,296
andrew.cJrKz9V5Ltg.01.txt,Neutral,Neutral,15,0,284
cory.mfkRcqbnZuc.00.txt,Neutral,Neutral,3,54,243
andrew.crU72vuhWTk.03.txt,Neutral,Neutral,2,3,295
julian.rMKU-5AupA.01.txt,Neutral,Positive,105,18,127
elizabeth.h4WIQJtJL6A.10.txt,Negative,Neutral,20,208,12
andrew.0k9pOXSfy0E.25.txt,Neutral,Neutral,2,41,538
pete.BVWdUT-4PMw.04.txt,Neutral,Neutral,111,23,166
andrew.1wgHzb8Eu9o.00.txt,Neutral,Neutral,0,0,246
pete.z85rKK-HoRI.06.txt,Neutral,Neutral,93,10,196
julian.UlqLOzIUW_U.23.txt,Neutral,Neutral,0,68,232
pete.iJBGlThAQY4.00.txt,Positive,Positive,219,26,48
pete.iJBGlThAQY4.14.txt,Neutral,Neutral,23,58,219
beto.yi3qMl8QwWw.00.txt,Negative,Neutral,13,115,111
pete.z85rKK-HoRI.02.txt,Positive,Positive,153,11,117
donald.xa7MY2_pmxU.00.txt,Negative,Positive,74,188,38
amy.9TwHGr4BCkE.19.txt,Positive,Positive,226,0,1
julian.ceYazOAJE28.09.txt,Neutral,Neutral,1,0,290
cory.c6aVnXmrlyc.05.txt,Neutral,Positive,75,14,203
pete.xBokmGo4vrg.06.txt,Positive,Positive,183,35,82
donald.DIf_vjjmupA.07.txt,Neutral,Neutral,1,21,117
andrew.0w8qpKhZR2s.01.txt,Neutral,Neutral,85,5,160
joe.nLueIWItvOY.00.txt,Neutral,Neutral,0,0,214
elizabeth.h4WIQJtJL6A.07.txt,Negative,Neutral,10,208,22
joe.9rk1CKs548o.00.txt,Neutral,Neutral,2,58,240
julian.QtsE34OY0mw.01.txt,Neutral,Neutral,22,2,276
amy.9TwHGr4BCkE.10.txt,Neutral,Positive,41,26,152
cory.Mu717xfFPVI.08.txt,Neutral,Negative,70,88,142
joe.7CQm0D6o9jg.00.txt,Neutral,Positive,52,5,78
kamala.01NsSWa4BLU.01.txt,Neutral,Neutral,39,34,227
joe.oM10W_hLaS8.10.txt,Neutral,Neutral,0,50,182
cory.ZA8dHJ-Q0Eg.00.txt,Neutral,Positive,67,0,179
andrew.50aDxO2uscs.30.txt,Neutral,Positive,81,24,145
kamala.HU4OMUzZvYc.00.txt,Neutral,Neutral,24,43,183
joe.SZbCvfTQdcM.01.txt,Neutral,Neutral,58,39,73
julian.UlqLOzIUW_U.19.txt,Neutral,Neutral,18,30,252
cory.bvSfBCCJPfg.02.txt,Positive,Positive,207,13,44
cory.1L57pOuUCKQ.03.txt,Negative,Negative,13,119,20
bernie.jNHOwtt2OoE.14.txt,Neutral,Neutral,96,0,204
andrew.0k9pOXSfy0E.09.txt,Neutral,Neutral,35,113,363
andrew.50aDxO2uscs.13.txt,Neutral,Neutral,0,111,188
amy.ov_6JM6Sceg.05.txt,Neutral,Neutral,105,11,110
kamala.aTO3DQ-MxIQ.08.txt,Neutral,Negative,2,47,154
donald.3bEqkOTJ9eA.23.txt,Neutral,Neutral,0,72,173
kamala.2i-gy7dyHz0.05.txt,Neutral,Negative,15,13,272
amy.ov_6JM6Sceg.01.txt,Neutral,Neutral,93,1,180
amy.9TwHGr4BCkE.13.txt,Neutral,Positive,38,36,113
andrew.50aDxO2uscs.31.txt,Neutral,Positive,92,15,136
julian.v2HoOdUpigw.00.txt,Negative,Neutral,8,136,107
beto.lMVhL6OOuR0.04.txt,Negative,Neutral,17,164,119
elizabeth.3_Zu30C92CY.04.txt,Negative,Negative,82,152,67
kamala.a0Kf9YIXSVk.14.txt,Neutral,Negative,43,52,179
bernie.NZ_WulgST3U.04.txt,Negative,Neutral,2,124,101
bernie.jNHOwtt2OoE.04.txt,Neutral,Neutral,1,2,297
pete.u5NzxlSSl-4.05.txt,Neutral,Neutral,22,89,189
beto.lMZ1EjVyAAE.03.txt,Neutral,Neutral,1,77,222
cory.bvSfBCCJPfg.09.txt,Negative,Negative,71,129,100
pete.L-_IBA1UA3k.01.txt,Neutral,Positive,69,8,151
julian.QtsE34OY0mw.20.txt,Neutral,Neutral,3,25,272
kamala.a0Kf9YIXSVk.09.txt,Neutral,Negative,20,42,128
cory.5PtJqHHB-vY.01.txt,Negative,Negative,68,104,86
cory.iCdmEsRWkx8.02.txt,Positive,Positive,179,53,64
cory.iCdmEsRWkx8.03.txt,Positive,Positive,160,12,128
cory.jaXt8gMKctk.04.txt,Positive,Neutral,61,0,57
donald.QqVYRTHJ8Rw.07.txt,Positive,Positive,248,33,19
andrew.Ln6NhfUZPqQ.03.txt,Neutral,Positive,52,4,221
andrew.50aDxO2uscs.23.txt,Neutral,Neutral,1,79,220
julian.NZmuLVQB2x4.00.txt,Positive,Positive,215,3,33
joe.0MBydpVL4-k.07.txt,Neutral,Positive,12,102,186
donald.MyJ21nxo_QQ.23.txt,Negative,Neutral,6,101,12
andrew.crU72vuhWTk.00.txt,Neutral,Neutral,14,10,276
