filename,predict,golden,positive count,negative count,neutral count
biden_58_0.txt,Neutral,Negative,77,67,187
biden_124_0.txt,Neutral,Neutral,13,5,42
biden_138_0.txt,Neutral,Neutral,0,0,4
biden_139_2.txt,Neutral,Neutral,0,3,120
biden_143_0.txt,Neutral,Negative,23,42,139
biden_143_2.txt,Neutral,Neutral,14,88,179
biden_274_0.txt,Positive,Negative,31,0,25
biden_308_0.txt,Positive,Negative,55,1,20
biden_411_0.txt,Neutral,Negative,0,0,112
biden_434_0_0.txt,Neutral,Neutral,0,0,125
biden_582_1.txt,Positive,Neutral,45,2,41
biden_611_0.txt,Positive,Positive,139,1,8
biden_643_0.txt,Neutral,Positive,21,8,31
biden_649_0.txt,Positive,Positive,35,13,27
biden_850_0.txt,Neutral,Neutral,14,69,107
biden_931_0.txt,Neutral,Neutral,3,0,57
biden_1051_0.txt,Positive,Negative,98,10,9
biden_1080_0.txt,Neutral,Neutral,11,1,70
biden_135_2.txt,Neutral,Neutral,0,8,115
biden_138_1.txt,Neutral,Negative,0,40,60
biden_177_0.txt,Neutral,Neutral,43,1,79
biden_824_4.txt,Negative,Neutral,27,33,9
biden_1026_0.txt,Negative,Negative,0,34,26
biden_1566_3.txt,Negative,Neutral,3,31,26
biden_2095_0.txt,Positive,Positive,25,0,0
biden_3792_2.txt,Neutral,Neutral,0,0,63
biden_3930_0.txt,Positive,Positive,113,4,6
biden_4186_3.txt,Neutral,Neutral,6,4,20
biden_4642_4.txt,Negative,Neutral,0,27,3
biden_4896_3.txt,Negative,Negative,0,30,4
biden_4991_1.txt,Neutral,Neutral,2,2,33
biden_5337_1.txt,Positive,Positive,59,0,36
biden_5493_0.txt,Neutral,Neutral,5,4,16
biden_5610_0_0.txt,Neutral,Neutral,0,2,148
biden_6786_5.txt,Neutral,Neutral,5,17,67
biden_52_1.txt,Neutral,Neutral,17,1,57
biden_121_0.txt,Negative,Neutral,1,24,5
biden_139_1.txt,Neutral,Neutral,0,26,142
biden_232_1.txt,Negative,Negative,16,20,0
biden_277_4_0.txt,Neutral,Neutral,0,1,138
biden_372_1_0.txt,Positive,Positive,192,44,64
biden_485_0.txt,Neutral,Negative,0,0,237
biden_562_0.txt,Negative,Negative,0,144,34
biden_603_5_0.txt,Neutral,Neutral,0,34,116
biden_700_0_0.txt,Positive,Positive,300,0,0
biden_726_3.txt,Positive,Neutral,41,0,18
biden_893_0_0.txt,Negative,Positive,27,106,17
biden_941_1_0.txt,Positive,Positive,297,1,0
biden_1035_3.txt,Negative,Neutral,24,24,12
biden_1070_0.txt,Neutral,Neutral,4,1,25
biden_1109_2.txt,Neutral,Neutral,8,7,33
biden_1128_0_0.txt,Neutral,Negative,0,0,275
biden_1330_0.txt,Neutral,Neutral,11,12,35
biden_1364_0.txt,Neutral,Neutral,0,5,62
biden_1374_4.txt,Negative,Neutral,0,52,15
biden_1411_0.txt,Neutral,Neutral,5,9,68
biden_2096_0.txt,Neutral,Neutral,0,8,101
biden_2324_3_0.txt,Positive,Positive,108,16,1
biden_2471_2.txt,Neutral,Neutral,0,0,25
biden_2798_0.txt,Neutral,Neutral,2,1,21
biden_2825_0.txt,Negative,Neutral,2,95,39
biden_2978_3.txt,Neutral,Neutral,43,41,44
biden_2980_0.txt,Neutral,Neutral,2,20,87
biden_3001_0.txt,Neutral,Neutral,0,0,3
biden_3266_1.txt,Neutral,Neutral,0,1,17
biden_3270_5.txt,Neutral,Negative,10,0,50
biden_3287_3.txt,Neutral,Neutral,0,0,3
biden_3329_1.txt,Neutral,Negative,2,54,166
biden_3396_0.txt,Neutral,Neutral,0,0,76
biden_3396_2_0.txt,Neutral,Neutral,0,0,300
biden_3398_0.txt,Positive,Neutral,60,0,0
biden_3529_0.txt,Positive,Positive,28,6,26
biden_3537_4.txt,Neutral,Neutral,2,10,18
biden_3780_4.txt,Neutral,Positive,14,8,38
biden_3818_2.txt,Negative,Neutral,0,50,9
biden_3918_0.txt,Positive,Positive,16,11,3
biden_3948_0.txt,Negative,Negative,0,18,12
biden_4129_1.txt,Neutral,Neutral,7,0,27
biden_4318_0.txt,Neutral,Neutral,19,9,32
biden_4327_1.txt,Positive,Neutral,87,5,7
biden_4372_0.txt,Positive,Positive,40,15,40
biden_4582_0.txt,Negative,Neutral,2,71,23
biden_4978_0_3.txt,Positive,Positive,150,0,0
biden_5023_0.txt,Neutral,Neutral,2,19,39
biden_5212_0.txt,Neutral,Neutral,16,5,42
biden_5221_0.txt,Negative,Negative,0,56,4
biden_5276_4.txt,Positive,Positive,64,0,27
biden_5426_2.txt,Neutral,Neutral,11,18,31
biden_5526_0_2.txt,Positive,Positive,300,0,0
biden_5581_1.txt,Negative,Positive,1,24,0
biden_5596_3.txt,Neutral,Neutral,1,2,34
biden_5617_3.txt,Neutral,Neutral,0,37,45
biden_5810_0.txt,Neutral,Neutral,0,0,30
biden_5814_0.txt,Neutral,Neutral,0,59,83
biden_5973_1.txt,Neutral,Neutral,0,0,150
biden_6324_0.txt,Neutral,Negative,4,3,83
biden_6466_3.txt,Neutral,Positive,2,24,127
biden_6557_2.txt,Neutral,Neutral,0,7,23
biden_6560_2.txt,Neutral,Neutral,0,17,23
biden_6568_2.txt,Neutral,Neutral,0,7,54
biden_6645_0.txt,Negative,Neutral,6,30,1
biden_6813_2.txt,Neutral,Neutral,0,3,22
biden_7084_0.txt,Negative,Positive,0,25,0
biden_7316_0.txt,Neutral,Neutral,0,21,39
biden_7380_5.txt,Neutral,Neutral,17,15,21
biden_7398_4.txt,Neutral,Neutral,0,5,55
biden_7443_0_0.txt,Positive,Positive,150,0,0
biden_51_4.txt,Negative,Neutral,8,126,115
biden_121_1.txt,Neutral,Neutral,6,0,24
biden_121_5.txt,Neutral,Neutral,0,7,23
biden_135_1.txt,Neutral,Neutral,0,24,145
biden_427_0_1.txt,Positive,Neutral,66,0,59
biden_434_0_6.txt,Neutral,Neutral,0,0,125
biden_579_0.txt,Neutral,Neutral,14,10,85
